UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.2,1629072415.8443716,-0.00024575000000000015,-7.372500000000004
D,-0.2,1629072415.9548912,-0.00024300000000000157,-7.290000000000047
D,-0.2,1629072416.0658646,-0.00024000000000000133,-7.200000000000039
D,-0.2,1629072416.1767933,-0.00023724999999999997,-7.117499999999999
D,-0.2,1629072416.2877998,-0.0002350000000000019,-7.050000000000057
D,-0.2,1629072416.400611,-0.00023250000000000215,-6.9750000000000645
D,-0.2,1629072416.5098548,-0.00022950000000000195,-6.885000000000058
D,-0.2,1629072416.6204665,-0.0002270000000000022,-6.810000000000066
D,-0.2,1629072416.7298493,-0.00022450000000000248,-6.735000000000074
D,-0.2,1629072416.839875,-0.00022199999999999998,-6.659999999999999
D,-0.2,1629072416.9543326,-0.0002192500000000014,-6.577500000000041
D,-0.2,1629072417.0634084,-0.00021675000000000166,-6.50250000000005
D,-0.2,1629072417.1751783,-0.00021450000000000082,-6.4350000000000245
D,-0.2,1629072417.2841437,-0.0002120000000000011,-6.360000000000032
D,-0.2,1629072417.3979068,-0.00020950000000000135,-6.28500000000004
D,-0.2,1629072417.5063868,-0.00020700000000000164,-6.21000000000005
D,-0.2,1629072417.618024,-0.00020475000000000078,-6.142500000000023
D,-0.2,1629072417.7304194,-0.0002024999999999999,-6.074999999999997
D,-0.2,1629072417.8387694,-0.00020025000000000183,-6.007500000000055
D,-0.2,1629072417.951457,-0.0001977500000000021,-5.932500000000062
D,-0.2,1629072418.0598185,-0.00019600000000000173,-5.880000000000051
D,-0.2,1629072418.1708646,-0.0001937500000000009,-5.812500000000027
D,-0.2,1629072418.2829185,-0.00019150000000000002,-5.745000000000001
D,-0.2,1629072418.3953469,-0.00018950000000000078,-5.685000000000024
D,-0.2,1629072418.5036771,-0.00018750000000000158,-5.625000000000047
D,-0.2,1629072418.6165836,-0.00018500000000000184,-5.550000000000055
D,-0.2,1629072418.7250786,-0.00018325000000000147,-5.497500000000044
D,-0.2,1629072418.8371387,-0.0001810000000000006,-5.430000000000018
D,-0.2,1629072418.9461145,-0.00017925000000000026,-5.377500000000008
D,-0.2,1629072419.0581365,-0.00017700000000000216,-5.3100000000000644
D,-0.2,1629072419.1706758,-0.00017500000000000016,-5.250000000000004
D,-0.2,1629072419.2787325,-0.0001732499999999998,-5.197499999999994
D,-0.2,1629072419.3920496,-0.00017100000000000172,-5.130000000000051
D,-0.2,1629072419.5002444,-0.00016950000000000022,-5.085000000000006
D,-0.2,1629072419.6205974,-0.00016725000000000214,-5.017500000000064
D,-0.2,1629072419.727389,-0.00016525000000000014,-4.957500000000004
D,-0.2,1629072419.834761,-0.00016300000000000204,-4.890000000000061
D,-0.2,1629072419.9431455,-0.00016175000000000217,-4.852500000000065
D,-0.2,1629072420.054741,-0.00015975000000000017,-4.792500000000005
D,-0.2,1629072420.1633432,-0.00015825000000000146,-4.747500000000044
D,-0.2,1629072420.275072,-0.0001565000000000011,-4.695000000000032
D,-0.2,1629072420.3970103,-0.00015450000000000186,-4.635000000000056
D,-0.2,1629072420.5008588,-0.00015249999999999986,-4.574999999999996
D,-0.2,1629072420.6125636,-0.00015075000000000228,-4.522500000000068
D,-0.2,1629072420.7256398,-0.00014925000000000078,-4.477500000000023
D,-0.2,1629072420.8377705,-0.00014775000000000205,-4.432500000000061
D,-0.2,1629072420.9506273,-0.00014625000000000055,-4.387500000000016
D,-0.2,1629072421.0615118,-0.00014450000000000018,-4.335000000000005
D,-0.2,1629072421.1725445,-0.00014300000000000147,-4.290000000000044
D,-0.2,1629072421.284495,-0.0001412500000000011,-4.237500000000033
D,-0.2,1629072421.3966107,-0.00013975000000000237,-4.192500000000071
D,-0.2,1629072421.5049758,-0.00013825000000000087,-4.147500000000026
D,-0.2,1629072421.6161113,-0.00013675000000000216,-4.102500000000064
D,-0.2,1629072421.727743,-0.00013525000000000066,-4.05750000000002
D,-0.2,1629072421.8392627,-0.00013375000000000192,-4.012500000000058
D,-0.2,1629072421.9478006,-0.00013200000000000156,-3.9600000000000466
D,-0.2,1629072422.0594082,-0.00013075000000000171,-3.922500000000052
D,-0.2,1629072422.1718056,-0.00012900000000000135,-3.8700000000000405
D,-0.2,1629072422.2797315,-0.00012749999999999985,-3.8249999999999953
D,-0.2,1629072422.3905537,-0.00012624999999999998,-3.787499999999999
D,-0.2,1629072422.5035162,-0.0001250000000000001,-3.750000000000003
D,-0.2,1629072422.6105883,-0.0001235000000000014,-3.705000000000042
D,-0.2,1629072422.7251806,-0.00012199999999999989,-3.6599999999999966
D,-0.2,1629072422.838856,-0.00012050000000000117,-3.615000000000035
D,-0.2,1629072422.9482677,-0.00011900000000000245,-3.5700000000000736
D,-0.2,1629072423.0584445,-0.00011800000000000145,-3.5400000000000436
D,-0.2,1629072423.1658056,-0.00011625000000000108,-3.4875000000000322
D,-0.2,1629072423.2767372,-0.00011525000000000008,-3.4575000000000022
D,-0.2,1629072423.3878412,-0.00011425000000000186,-3.4275000000000553
D,-0.2,1629072423.4994411,-0.00011275000000000036,-3.3825000000000105
D,-0.2,1629072423.610281,-0.00011150000000000049,-3.3450000000000144
D,-0.2,1629072423.7228298,-0.00011000000000000177,-3.3000000000000527
D,-0.2,1629072423.8307884,-0.00010900000000000077,-3.2700000000000227
D,-0.2,1629072423.943114,-0.00010750000000000204,-3.225000000000061
D,-0.2,1629072424.0526729,-0.00010650000000000104,-3.195000000000031
D,-0.2,1629072424.1639202,-0.00010525000000000118,-3.1575000000000353
D,-0.2,1629072424.2775085,-0.00010400000000000132,-3.1200000000000396
D,-0.2,1629072424.3879414,-0.00010275000000000145,-3.0825000000000435
D,-0.2,1629072424.4959598,-0.00010175000000000045,-3.0525000000000135
D,-0.2,1629072424.605884,-0.0001005000000000006,-3.015000000000018
D,-0.2,1629072424.726742,-9.925000000000073e-05,-2.977500000000022
U,0.0,1629072425.8624887,0.0025453804510624954,76.36141353187486
U,0.0,1629072425.9742718,0.0027612469278394257,82.83740783518277
U,0.0,1629072426.0863667,0.00289552839278062,86.8658517834186
U,0.0,1629072426.2155528,0.0031732017733288372,95.1960531998651
U,0.0,1629072426.3202362,0.00329212926571833,98.7638779715499
U,0.0,1629072426.4414263,0.0034933762461145245,104.80128738343574
U,0.0,1629072426.5567155,0.003601008173491245,108.03024520473734
U,0.0,1629072426.6648622,0.0038349197120437833,115.0475913613135
U,0.0,1629072426.7736182,0.00374374571973895,112.3123715921685
U,0.0,1629072426.8974078,0.0037222258737917083,111.66677621375125
U,0.0,1629072427.0247927,0.0036107650413858662,108.32295124157598
